COURSE CODE,TITLE,LOCAL CREDIT,ECTS CREDIT,REMAINING / TOTAL QUOTA,CAMPUS,CLASSROOM(S),INSTRUCTOR NAME,INSTRUCTOR SURNAME,ASSISTANT,TIME SLOT,FACULTY NAME,COURSE HOUR(S),LIVE SECTION	
ARCH2216.1,Architectural Design Thinking (3),3,5,3 / 30,Åžile,"D/K-114, D/K-114, D/K-114",DÄ°CLE,ZEYCAN,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 09:30 - 10:20, Pazartesi 11:30 - 12:20","Faculty of Arts, Design and Architecture",3,NO	
ARCH2218.1,History and Theory of Architecture I (3),3,5,1 / 35,Åžile,"D/K-106, D/K-106, D/K-106",Ã–ZLEM SILA,DURHAN,STAFF,,"Faculty of Arts, Design and Architecture",3,NO	
ARCH2220.1,Statics and Strength of Materials (3),3,4,16 / 40,Åžile,"D/K-103, D/K-103, D/K-103",PINAR,Ã–ZDEMÄ°R Ã‡AÄžLAYAN,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20, SalÄ± 11:30 - 12:20","Faculty of Arts, Design and Architecture",3,NO	
ARCH2220-PS.1,Statics and Strength of Materials,0,0,16 / 40,Åžile,D/K-103,PINAR,Ã–ZDEMÄ°R Ã‡AÄžLAYAN,STAFF,SalÄ± 12:30 - 13:20,"Faculty of Arts, Design and Architecture",1,NO	
ARCH2222.1,Building Technologies II (3),3,4,4 / 30,Åžile,"D/K-304, D/K-304",ELÄ°F,SÃœYÃœK MAKAKLI,STAFF,,"Faculty of Arts, Design and Architecture",2,NO	
ARCH2222-L.1,Building Technologies II,0,0,4 / 30,Åžile,"D/K-304, D/K-304",ELÄ°F,SÃœYÃœK MAKAKLI,STAFF,,"Faculty of Arts, Design and Architecture",2,NO	
ARCH2224.1,Computer Aided Architectural Design I (2),2,2,14 / 30,Åžile,D/K-B08,FERHAT,BULDUK,STAFF,Ã‡arÅŸamba 08:30 - 09:20,"Faculty of Arts, Design and Architecture",1,NO	
ARCH2224-L.1,Computer Aided Architectural Design I,0,0,14 / 30,Åžile,D/K-B08,FERHAT,BULDUK,STAFF,"Ã‡arÅŸamba 09:30 - 10:20, Ã‡arÅŸamba 11:30 - 12:20","Faculty of Arts, Design and Architecture",2,NO	
ARCH2900.1,Industrial Practice I,0,2,29 / 50,Åžile,,GÃœLAY,KEPSUTLU,STAFF,,"Faculty of Arts, Design and Architecture",0,NO	
ARCH3301.1,Architectural Design Studio III (4),4,8,11 / 20,Åžile,"D/K-202, D/K-202, D/K-202, D/K-202, D/K-202, D/K-202, D/K-202, D/K-202",Ã–ZLEM SILA,DURHAN,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 09:30 - 10:20, Pazartesi 11:30 - 12:20, Pazartesi 12:30 - 13:20, Pazartesi 13:30 - 14:20, Pazartesi 14:30 - 15:20, Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO	
ARCH3302.1,Architectural Design Studio IV (4),4,8,16 / 30,Åžile,"D/K-206, D/K-206, D/K-206, D/K-206, D/K-206, D/K-206, D/K-206, D/K-206",Ã–ZLEM SILA,DURHAN2,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 09:30 - 10:20, Pazartesi 11:30 - 12:20, Pazartesi 12:30 - 13:20, Pazartesi 13:30 - 14:20, Pazartesi 14:30 - 15:20, Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO	
ARCH3304.1,Environmental and Zoning Law (3),3,5,7 / 20,Åžile,"D/K-114, D/K-114, D/K-114",NURAN ZEREN GÃœLERSOY 3,,STAFF,,"Faculty of Arts, Design and Architecture",3,NO	
ARCH3310.1,Conservation Theories (3),3,5,6 / 30,Åžile,"D/K-203, D/K-203, D/K-203",GÃœLAY,KEPSUTLU,STAFF,,"Faculty of Arts, Design and Architecture",3,NO	
ARCH3310-PS.1,Conservation Theories,0,0,6 / 30,Åžile,D/K-203,GÃœLAY,KEPSUTLU,STAFF,,"Faculty of Arts, Design and Architecture",1,NO	
ARCH3312.1,Contemporary Architecture (3),3,5,14 / 30,Åžile,"D/K-114, D/K-114, D/K-114",GÃœLDEHEN,KAYA,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20, SalÄ± 11:30 - 12:20","Faculty of Arts, Design and Architecture",3,NO	
ARCH3314.1,Construction Management and Economics (2),2,3,14 / 30,Åžile,"ONLINE, ONLINE",GÃœRSEL RANA,AYDIN,STAFF,"Cuma 13:30 - 14:20, Cuma 14:30 - 15:20","Faculty of Arts, Design and Architecture",2,YES	
ARCH3314-PS.1,Construction Management and Economics,0,0,14 / 30,Åžile,ONLINE,GÃœRSEL RANA,AYDIN,STAFF,Cuma 15:30 - 16:20,"Faculty of Arts, Design and Architecture",1,YES	
ARCH3316.1,Contemporary Building Structures (3),3,4,12 / 40,Åžile,"D/K-203, D/K-203",STAFF  17,,STAFF,"SalÄ± 13:30 - 14:20, SalÄ± 14:30 - 15:20","Faculty of Arts, Design and Architecture",2,NO	
ARCH3316-L.1,Contemporary Building Structures,0,0,12 / 40,Åžile,"D/K-203, D/K-203",STAFF  18,,STAFF,"SalÄ± 15:30 - 16:20, SalÄ± 16:30 - 17:20","Faculty of Arts, Design and Architecture",2,NO	
ARCH3318.1,Environmental and Planning Law (2),2,3,23 / 30,Åžile,"D/K-507, D/K-507",NURAN,ZEREN GÃœLERSOY,STAFF,,"Faculty of Arts, Design and Architecture",2,NO	
ARCH3900.1,Industrial Practice II,0,3,45 / 50,Åžile,,GÃœLAY,KEPSUTLU,STAFF,,"Faculty of Arts, Design and Architecture",0,NO	
ARCH4401.1,Architectural Design Studio V (4),4,8,12 / 20,Åžile,"D/K-102, D/K-102, D/K-102, D/K-102, D/K-102, D/K-102, D/K-102, D/K-102",AYÅžE,Ã–ZTÃœRK,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 09:30 - 10:20, Pazartesi 11:30 - 12:20, Pazartesi 12:30 - 13:20, Pazartesi 13:30 - 14:20, Pazartesi 14:30 - 15:20, Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO	
ARCH4406.1,Culture and Architecture (3),3,5,15 / 20,Åžile,"ONLINE, ONLINE, ONLINE",PINAR,ENGÄ°NCAN,STAFF,"SalÄ± 14:30 - 15:20, SalÄ± 15:30 - 16:20, SalÄ± 16:30 - 17:20","Faculty of Arts, Design and Architecture",3,YES	
ARCH4407.1,Application Project (4),4,7,17 / 20,Åžile,"D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106, D/K-106",RÃœKSAN TUNA 6,,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20, SalÄ± 11:30 - 12:20, SalÄ± 12:30 - 13:20, SalÄ± 13:30 - 14:20, SalÄ± 14:30 - 15:20, SalÄ± 15:30 - 16:20, SalÄ± 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO	
ARCH4408.1,Sustainable Architecture (3),3,5,16 / 20,Åžile,"D/K-206, D/K-206, D/K-206",RÃœKSAN TUNA 7,,STAFF,,"Faculty of Arts, Design and Architecture",3,NO	
ARCH4409.1,Disaster Resilient Urban and Architectural Design (3),3,5,9 / 20,Åžile,"D/K-203, D/K-203, D/K-203",STAFF  36,,STAFF,"Cuma 13:30 - 14:20, Cuma 14:30 - 15:20, Cuma 15:30 - 16:20","Faculty of Arts, Design and Architecture",3,NO	
